ions;Cl;Br;etch_rate
1.89E+15;8.29E+16;4.09E+17;225.9
1.90E+15;8.30E+16;4.08E+17;228.6
1.77E+15;7.61E+16;4.06E+17;228.9
1.37E+15;5.68E+16;4.04E+17;220.1
1.06E+15;3.99E+16;4.03E+17;215.5
3.95E+15;1.50E+17;4.44E+17;273.1
4.08E+15;1.51E+17;4.43E+17;276.9
4.16E+15;1.49E+17;4.46E+17;278.6
3.43E+15;1.30E+17;4.53E+17;265.4
2.61E+15;9.98E+16;4.68E+17;250.4
4.65E+14;1.77E+16;5.50E+17;225.6
4.73E+14;1.88E+16;5.63E+17;228.9
4.63E+14;1.74E+16;5.54E+17;228.2
3.97E+14;1.28E+16;5.08E+17;205.4
3.04E+14;8.77E+15;4.51E+17;189.0
8.40E+14;3.94E+16;8.00E+17;276.9
8.68E+14;4.10E+16;8.02E+17;285.5
8.92E+14;4.12E+16;8.02E+17;288.6
9.71E+14;4.44E+16;8.10E+17;268.9
9.69E+14;4.51E+16;7.90E+17;254.6
